Public Food Key,Classification,Food Name,"Energy with dietary fibre, equated 
(kJ)","Moisture (water) 
(g)","Protein 
(g)","Nitrogen 
(g)","Fat, total 
(g)","Total dietary fibre 
(g)","Glucose 
(g)",Added sugars (g),"Free sugars 
(g)","Starch 
(g)","Available carbohydrate, without sugar alcohols 
(g)","Available carbohydrate, with sugar alcohols 
(g)","Calcium (Ca) 
(mg)","Copper (Cu) 
(mg)","Iodine (I) 
(ug)","Iron (Fe) 
(mg)","Magnesium (Mg) 
(mg)","Phosphorus (P) 
(mg)","Potassium (K) 
(mg)","Sodium (Na) 
(mg)","Zinc (Zn) 
(mg)","Cobalamin (B12) 
(ug)","Folic acid 
(ug)","Vitamin C 
(mg)","Vitamin E 
(mg)","Total saturated fatty acids, equated 
(g)","Caffeine 
(mg)","Cholesterol 
(mg)"
F002258,31302,"Cardamom seed, dried, ground","1,236",8.3,10.8,1.72,6.7,28,,0,0,30,34.4,34.4,383,,0,13.97,229,178,"1,119",18,7.47,0,0,21,2.85,2.2,0,0
F002893,31302,"Chilli (chili), dried, ground","1,280",10.8,13.4,2.14,14.3,34.8,,0,0,7.7,14.9,14.9,330,,2.3,17.3,149,300,"1,950","2,867",4.3,0,0,1,38.14,2.06,0,0
F002963,31302,"Cinnamon, dried, ground","1,004",10.6,4,0.64,1.2,53.1,,0,0,25.3,27.5,27.5,"1,002",,0.1,8.32,60,64,431,10,1.83,0,0,4,2.32,0.62,0,0
F002970,31302,"Cloves, dried, ground","1,389",9.9,6,0.96,13,33.9,,0,0,29.2,31.6,31.6,632,,50.7,11.83,259,104,"1,020",277,2.32,0,0,0,8.82,5.49,0,0
F003190,31302,"Coriander seed, dried, ground","1,344",8.9,12.4,1.98,17.8,41.9,,0,0,6.1,8.4,8.4,709,,2.3,16.32,330,409,"1,267",35,4.7,0,0,21,0.91,1.03,0,0
F003327,31302,"Cumin (cummin) seed, dried, ground","1,782",8.1,17.8,2.85,22.3,10.5,,0,0,31.5,33.7,33.7,931,,13.6,66.36,366,499,"1,788",168,4.8,0,0,8,3.33,1.73,0,0
F003337,31302,Curry powder,"1,231",8.8,14.3,2.29,14,53.2,,0,0,0,2.8,2.8,525,,0,19.1,255,367,"1,170",52,4.7,0,0,1,25.24,1.64,0,0
F003821,31302,"Fenugreek seed, dried","1,080",8.8,23,3.68,6.4,47.6,,0,0,3.7,4.2,4.2,176,,2.3,33.53,191,296,770,67,2.5,0,0,3,0.02,1.03,0,0
F004210,31302,"Ginger, dried, ground","1,397",9.9,9,1.44,4.2,14.1,,0,0,54.1,57.5,57.5,114,,12.4,19.8,214,168,"1,320",27,3.64,0,0,1,0,2.2,0,0
F005972,31302,Mustard powder,"2,289",4.3,29.4,4.71,39.5,5,0.1,0,0,12.2,17.2,17.2,160,0.41,0,7,310,730,650,3,4.9,0,0,7,5.07,2,0,0
F006118,31302,"Nutmeg, dried, ground","2,090",6.2,5.8,0.93,36.3,20.8,,0,0,25.5,28.5,28.5,184,,0,3.04,183,213,350,16,2.15,0,0,3,0,30.51,0,0
F006281,31302,"Oregano, dried","1,096",9.9,9,1.44,4.3,42.5,,0,0,22.3,26.4,26.4,"1,597",,0,36.8,270,148,"1,260",25,2.69,0,0,2,18.26,1.46,0,0
F006316,31302,"Paprika, dry powder","1,311",11.2,14.1,2.26,12.9,34.9,,0,0,8.8,19.1,19.1,229,,0,21.14,178,314,"2,280",68,4.33,0,0,1,29.1,1.9,0,0
F006618,31302,"Pepper, black, ground","1,156",12.5,10.4,1.66,3.3,25.3,0.2,0,0,38,38.6,38.6,443,,6,9.71,171,158,"1,329",20,1.19,0,0,0,1.04,1.39,0,0
F007715,31302,"Rosemary, dried","1,314",9.3,4.9,0.78,15.2,42.6,,0,0,0.8,20.4,20.4,"1,280",,2.3,29.25,220,70,955,50,3.23,0,0,61,7.48,7.05,0,0
F007726,31302,"Sage, dried","1,320",8,10.6,1.7,12.8,40.3,,0,0,18.7,20.4,20.4,"1,652",,1.8,28.12,428,91,"1,070",11,4.7,0,0,32,7.48,7.03,0,0
F009160,31302,"Thyme, dried, ground","1,182",7.8,9.1,1.46,7.4,37,,0,0,25.2,26.9,26.9,"1,890",,2.3,123.6,220,201,814,55,6.18,0,0,50,7.48,3.7,0,0
F009335,31302,"Turmeric, dried, ground","1,219",12.8,9.7,1.55,3.2,22.7,,0,0,41.2,44.4,44.4,168,,2.3,55,208,299,"2,080",27,4.5,0,0,1,4.43,1.88,0,0
F007870,31301,"Salt substitute, potassium chloride",0,0.2,0,0,0,0,0,0,0,0,0,0,34,,19.9,0,1,3,"50,009",33,0.1,0,0,0,0,0,0,0
F007878,31301,"Salt, table, iodised",0,0.2,0,0,0,0,0,0,0,0,0,0,34,,"4,400.00",0,1,3,98,"38,168",0.1,0,0,0,0,0,0,0
F007879,31301,"Salt, table, non-iodised",0,0.2,0,0,0,0,0,0,0,0,0,0,34,,19.9,0,1,3,17,"38,178",0.1,0,0,0,0,0,0,0
F008933,31303,"Stock, dry powder or cube",900,3.6,11.3,1.81,8.9,0,0.1,2.8,2.8,18.2,22.5,22.5,71,0,44,2.5,25,200,250,"18,400",0.4,0,0,0,0,4.38,0,0
F009072,31303,"Taco seasoning mix, chilli-based","1,010",6.8,5.9,0.94,4.1,9.9,1.1,11.2,11.2,20.5,39.7,39.7,240,0.34,6,6.3,76,200,700,"9,350",0.91,0,0,0,3.7,1.09,0,0
F000247,31501,"Baking powder, dry powder",364,4,0.8,0.14,0.3,0.4,,0,0,19.8,19.8,19.8,6,,1,2.02,9,29,"8,267","6,868",0.36,0,0,0,0.14,0.05,0,0
F000248,31501,"Baking soda (bicarbonate), dry powder",0,0.2,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,"27,360",0,0,0,0,0,0,0,0
F003250,31501,"Cream of tartar, dry powder",2,1.7,0,0,0,0.2,,0,0,0,0,0,8,,0,3.72,2,5,"16,500",52,0.42,0,0,0,0,0,0,0
F004196,31502,"Gelatine, all types","1,449",11,84.4,15.2,0.4,0,0,0,0,0,0,0,250,0.07,0,2.1,15,32,7,330,0.4,0,0,0,0,0.19,0,0
F004220,12103,"Gluten, from wheat (vital wheat gluten)","1,507",8.2,75.2,12.89,0,0.6,,0,0,13.2,13.2,13.2,142,,3,5.2,25,260,100,29,0.85,0,0,0,0,0,0,0
F008831,24102,"Starch, potato","1,332",19.1,0,0,0.5,5.9,0,0,0,74.5,74.5,74.5,14,0,0,0.3,5,102,43,9,0.1,0,0,0,0.25,0.18,0,0
F009351,31401,"Vanilla, artificial or imitation",231,85.6,0,0,0,0,,0,0,0,14.4,14.4,3,,0.2,0.05,1,0,0,3,0.01,0,0,0,0,0,0,0
F009350,31401,Vanilla bean extract,"1,203",52.6,0.1,0.01,0.1,0,,0,0,0,12.6,12.6,11,,0.2,0.12,12,6,148,9,0.11,0,0,0,0,0.02,0,0
F009606,31101,"Yeast, dry powder","1,126",6,36.4,5.82,5,26.9,0,0,0,6.3,6.3,6.3,18,0.57,5.5,3.5,95,860,"1,470",170,18,0,0,0,0,0.75,0,0
F000996,29101,"Beer, high alcohol (5% v/v & above)",174,91.9,0.5,0.08,0,0,0,0,0,0,2.1,2.1,4,0.003,0,0.01,9,23,55,4,0,0,0,0,0,0,0,0
F000994,29101,"Beer, full strength (alcohol 4-4.9% v/v)",152,93,0.4,0.06,0,0,0,0,0,0,2.3,2.3,4,0.002,0,0,6,16,36,4,0,0,0,0,0,0,0,0
F000995,29101,"Beer, full strength (alcohol 4-4.9% v/v), carbohydrate modified",126,94.6,0.3,0.05,0,0,0,0,0,0,1,1,3,0.001,0,0.01,5,15,28,4,0,0,0,0,0,0,0,0
F001006,29102,"Beer, mid-strength (alcohol 3-3.9% v/v)",128,94.1,0.3,0.05,0,0,0,0,0,0,2.2,2.2,4,0.002,0,0,5,12,30,3,0,0,0,0,0,0,0,0
F001004,29102,"Beer, light (alcohol 1-2.9% v/v)",100,94.5,0.2,0.03,0,0,0,0,0,0,2.2,2.2,3,0.001,0,0,5,12,27,3,0,0,0,0,0,0,0,0
F000051,29301,"Alcoholic beverage, spirit, approximately 40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)",892,66.9,0,0,0,0,0,0,0,0,0.1,0.1,1,0.006,0,0.05,0,0,1,3,0.02,0,0,0,0,0,0,0
F000050,29301,"Alcoholic beverage, spirit, approximately 30% v/v, all (Brandy, Gin, Rum, Vodka and Whisky), cooked",302,86.4,0,0,0,0,0,0,0,0,0.3,0.3,1,0.01,0,0.06,1,0,1,2,0.06,0,0,0,0,0,0,0
F002955,29401,"Cider, apple (alcohol approximately 4-5% v/v)",209,89.2,0,0,0,0,1.7,0,5.6,0,5.6,5.6,3,0.006,0,0.02,2,12,56,3,0.01,0,0,2,0,0,0,0
F009572,29201,"Wine, red, cabernet sauvignon",332,86.1,0.3,0.05,0,0,0.1,0,0.2,0,0.2,0.2,7,0.024,1.7,0.15,13,35,117,4,0.07,0,0,0,0,0,0,0
F009574,29201,"Wine, red, merlot",330,86.3,0.3,0.05,0,0,0.2,0,0.4,0,0.4,0.4,7,0.022,1.5,0.17,12,26,91,5,0.07,0,0,0,0,0,0,0
F009575,29201,"Wine, red, pinot noir",321,86.9,0.2,0.03,0,0,0.1,0,0.2,0,0.2,0.2,7,0.015,0,0.17,16,32,91,2,0.1,0,0,0,0,0,0,0
F009577,29201,"Wine, red, shiraz",342,85.5,0.2,0.03,0,0,0.1,0,0.2,0,0.2,0.2,6,0.016,2.2,0.18,15,32,115,7,0.09,0,0,0,0,0,0,0
F009571,29201,"Wine, red",335,85.9,0.2,0.04,0,0,0.1,0,0.2,0,0.2,0.2,7,0.019,1.8,0.17,14,32,111,5,0.08,0,0,0,0,0,0,0
F009573,29201,"Wine, red, cooked",120,93.2,0.3,0.04,0,0,0.1,0,0,0,0.2,0.2,8,,1.5,0,15,34,113,5,0.09,0,0,0,0,0,0,0
F009578,29201,"Wine, red, sparkling",338,85.5,0.2,0.03,0,0,,0,2,0,2,2,6,0.016,2.2,0.18,15,33,117,7,0.09,0,0,0,0,0,0,0
F009579,29201,"Wine, rose",289,88.2,0.2,0.03,0,0,0.2,0,0.7,0,0.7,0.7,8,0.021,2,0.08,11,27,51,5,0.06,0,0,0,0,0,0,0
F009583,29202,"Wine, white, sauvignon blanc",296,88.3,0.2,0.03,0,0,0.1,0,0.1,0,0.1,0.1,8,0.014,0,0.09,8,18,56,2,0.06,0,0,0,0,0,0,0
F009584,29202,"Wine, white, semillon",270,89.2,0.2,0.03,0,0,0.1,0,0.2,0,0.2,0.2,9,0.02,0,0.21,8,25,57,6,0.08,0,0,6,0,0,0,0
F009582,29202,"Wine, white, chardonnay",310,87.7,0.3,0.05,0,0,0.1,0,0.3,0,0.3,0.3,7,0.014,0,0.17,11,25,52,4,0.1,0,0,0,0,0,0,0
F009586,29202,"Wine, white, riesling",292,88.5,0.2,0.03,0,0,0.1,0,0.4,0,0.4,0.4,10,0.029,1.5,0.1,20,22,44,7,0.08,0,0,0,0,0,0,0
F009581,29202,"Wine, white",301,88.1,0.3,0.04,0,0,0.1,0,0.2,0,0.2,0.2,8,0.016,0.1,0.16,10,23,53,4,0.08,0,0,1,0,0,0,0
F009580,29202,"Wine, white, cooked",107,94.6,0.2,0.04,0,0,0.1,0,0.3,0,0.3,0.3,9,,0.4,0.15,12,25,56,5,0.08,0,0,2,0,0,0,0
F009590,29202,"Wine, white, sparkling",306,88.3,0.2,0.03,0,0,0.5,0,1,0,1,1,7,0.015,0,0.19,9,20,35,2,0.06,0,0,0,0,0,0,0
F009592,29202,"Wine, white, sweet dessert style",497,71.2,0.4,0.06,0,0,5.6,0,14.7,0,14.7,14.7,15,0.009,1.8,0.19,19,48,101,13,0.09,0,0,0,0,0,0,0
F009566,29203,"Wine, fortified, port",600,70.9,0.2,0.03,0,0,5.1,0,12.4,0,12.4,12.4,5,0.01,0,0.19,10,18,82,15,0.06,0,0,0,0,0,0,0
F009567,29203,"Wine, fortified, sherry, dry style (approximately 1% sugars)",435,83,0.1,0.02,0,0,0.6,0,1.2,0,1.2,1.2,5,0,0,0.06,6,12,39,19,0.06,0,0,0,0,0,0,0
F009568,29203,"Wine, fortified, sherry, sweet style (approximately 11% sugars)",577,73,0.2,0.03,0,0,4.8,0,11.1,0,11.1,11.1,4,0.01,0,0.1,6,13,53,18,0.06,0,0,0,0,0,0,0
F007493,30105,"Protein powder, whey based, protein >70%, unfortified","1,568",4.4,85,13.6,2.2,1.8,0,0,0,0.3,1.6,1.6,420,0.054,240,0.49,78,240,480,200,0.25,4.7,0,0,0,1.23,0,61
F009818,30104,"Protein powder, whey based, protein >70%, unfortified, prepared with water",261,84.1,14.2,2.27,0.4,0.3,0,0,0,0,0.3,0.3,71,0.038,40.6,0.09,14,40,80,36,0.04,0.8,0,0,0,0.2,0,10
F002980,11804,Cocoa powder,"1,335",4.1,22.1,4.32,15.2,27.7,0.4,0,0,9,10.5,10.5,170,3.7,4,30,590,750,"4,400",81,7.5,0,0,0,0.47,9.17,150,0
F001029,11802,"Beverage base, chocolate flavour, added vitamins A, B1, B2, C & D, Ca & Fe (Milo)","1,666",1.2,12.7,2.03,10.4,9.1,3.8,15.9,40.7,13.9,61.2,61.2,738,0.445,18,18,80,420,825,75,1.8,0,0,44,0.23,6.62,10,10
F001032,11804,"Beverage base, chocolate flavour, unfortified (Nesquik brand)","1,574",0.4,5.3,0.85,2.8,5.8,0,81,81,2.2,83.2,83.2,38,0.87,0,14,120,160,430,0,1.4,0,0,0,0.07,1.38,38,0
F001073,11803,"Beverage, chocolate flavour, from Nesquik powder, with regular fat cows milk",344,83.1,3.4,0.54,3.4,0.3,0,4.5,4.5,0.1,9.7,9.7,102,0.054,21.6,0.8,16,92,158,33,0.39,0.4,0,0,0.09,2.26,2,9
F001068,11801,"Beverage, chocolate flavour, from Milo powder, with regular fat cows milk",395,80.3,4.1,0.65,4,0.8,0.3,1.4,3.6,1.2,10.3,10.3,162,0.044,22.5,1.62,16,117,203,39,0.46,0.4,0,4,0.1,2.69,1,10
F001036,11804,"Beverage base, drinking chocolate, unfortified","1,508",2.5,5.6,0.9,4.8,1.5,0,74.1,74.1,2,76.3,76.3,41,1,4,1.9,150,190,690,160,2.5,0,0,0,2.1,2.88,37,0
F001064,11803,"Beverage, chocolate flavour, from drinking chocolate, with regular fat cows milk",356,82.1,3.5,0.54,3.5,0.1,0,5.1,5.1,0.1,10.2,10.2,101,0.074,20.6,0.15,20,94,180,44,0.48,0.3,0,0,0.21,2.35,2,9
F003060,11205,"Coffee, instant, dry powder or granules",588,5,18,3.4,0.3,20.6,0.7,0,0,0.2,3.6,3.6,150,0.023,4.6,2.8,320,360,"3,500",61,0.29,0,0,0,0.09,0.11,"3,488",0
F003017,11201,"Coffee, black, from instant coffee powder",5,99.2,0.2,0.03,0,0.2,0,0,0,0,0,0,3,0.035,0.8,0.03,4,3,31,3,0.01,0,0,0,0,0,31,0
F003061,11205,"Coffee, instant, dry powder or granules, decaffeinated",522,5,18,3.4,0.3,20.6,0.7,0,0,0.2,2.5,2.5,150,0.023,4.6,2.8,320,360,"3,500",61,0.29,0,0,0,0.09,0.11,160,0
F003018,11203,"Coffee, black, from instant coffee powder, decaffeinated",5,99.2,0.2,0.03,0,0.2,0,0,0,0,0,0,3,0.035,0.8,0.03,4,3,31,3,0.01,0,0,0,0,0,1,0
F003014,11209,"Coffee mix, with beverage whitener & sugar, dry powder","1,645",1.7,13.1,2.1,12.7,3.6,0.3,6.3,16.3,7.8,56.1,56.1,340,0.026,58,0.69,73,540,"1,300",380,1,0.3,0,3,0,11.9,500,8
F003084,11208,"Coffee, prepared from coffee mix with sugar & whitener, no added milk",82,95.1,0.6,0.1,0.6,0.2,0,0.3,0.8,0.4,2.8,2.8,18,0.034,3.6,0.04,5,27,65,22,0.05,0,0,0,0,0.59,25,0
F003041,11201,"Coffee, espresso, from ground coffee beans",40,92.3,1.7,0.32,0.3,0,,0,0,0,0,0,11,0.042,0,0,37,29,520,2,0.06,0,0,0,0,0.11,290,0
F009796,11202,"Coffee, flat white/latte/cappuccino, from ground coffee beans, with regular fat cows milk",195,89.5,2.8,0.45,2.5,0,0,0,0,0,3.4,3.4,95,0.01,21,0,16,86,220,29,0.37,0.3,0,0,0,1.72,68,9
F003065,11201,"Coffee, long black, from ground coffee beans",8,98.5,0.3,0.06,0.1,0,,0,0,0,0,0,3,0.036,0.6,0,8,6,104,3,0.02,0,0,0,0,0.02,58,0
F003130,11403,"Cordial base, 25% citrus fruit juice, regular",606,60.6,0,0,0,0,13.1,36,37.3,0,37.3,37.3,3,0,1,0,1,3,15,12,0,0,0,4,0,0,0,0
F003158,11401,"Cordial, 25% citrus fruit juice, regular, recommended dilution",142,90.8,0,0,0,0,3.1,8.4,8.7,0,8.7,8.7,2,0.027,0.8,0,1,1,4,5,0,0,0,1,0,0,0,0
F003135,11403,"Cordial base, 40% citrus fruit juice, regular",659,57.9,0.2,0.03,0,0,15.9,38.2,40.2,0,40.2,40.2,4,0,1,0.1,2,5,32,43,0,0,0,8,0,0,0,0
F003160,11401,"Cordial, 40% citrus fruit juice, regular, recommended dilution",154,90.2,0,0.01,0,0,3.7,8.9,9.4,0,9.4,9.4,2,0.027,0.8,0.03,1,1,8,12,0,0,0,2,0,0,0,0
F003128,11403,"Cordial base, blackcurrant juice, regular",731,54,0.1,0.01,0,0,,42.9,45,0,45,45,6,0.01,1,0.33,3,5,54,0,0.06,0,0,74,0,0,0,0
F003156,11401,"Cordial, blackcurrant juice, regular, recommended dilution",151,90.5,0,0,0,0,,8.9,9.3,0,9.3,9.3,2,0.03,0.8,0.07,1,1,11,2,0.02,0,0,15,0,0,0,0
F004099,11307,"Fruit drink, apple juice",137,91.1,0.1,0,0,0,2.4,6,7.8,0.4,8.2,8.2,2,0.002,3,0,2,2,47,5,0,0,0,31,0,0,0,0
F004102,11307,"Fruit drink, cranberry",182,87.1,0,0,0,0.1,,8.4,11.3,0,11.3,11.3,8,,4,0.25,6,13,20,16,0.1,0,0,16,1.2,0,0,0
F004114,11307,"Fruit drink, orange juice",163,89.4,0.2,0.03,0,0,1,8.3,9.6,0,9.6,9.6,8,0.026,4,0.05,5,6,72,9,0.01,0,0,5,0,0,0,0
F004663,11301,"Juice, apple, commercial, added vitamin C",121,89,0.2,0.03,0,0.2,2.1,0,7,0,7,7,6,0.016,4,0.05,6,7,120,6,0.02,0,0,33,0,0,0,0
F004656,11301,"Juice, apple & blackcurrant, commercial",162,89.2,0.2,0.03,0,0,2.6,0,9.3,0,9.3,9.3,5,0.005,0,0,4,5,94,6,0.01,0,0,27,0,0,0,0
F004726,11301,"Juice, lemon",115,89,0.6,0.1,0.2,2.5,0.8,0,0,0,1.8,1.8,20,,0,0.3,9,16,120,2,0.1,0,0,46,0.14,0,0,0
F004729,11301,"Juice, lime",122,87.6,0.8,0.13,0.2,4.1,0.5,0,0,0,1.2,1.2,22,,0,0.3,11,18,150,3,0.1,0,0,45,0.21,0,0,0
F004739,11301,"Juice, orange, commercial",112,89.1,0.8,0.13,0,0.3,1.3,0,5.4,0,5.4,5.4,7,0.026,0,0.04,7,14,145,2,0.03,0,0,69,0.1,0,0,0
F004731,11301,"Juice, orange & mango, commercial",146,90.3,0.6,0.1,0,0.2,2.2,0,7.7,0,7.7,7.7,9,0.03,0,0,9,16,160,4,0.04,0,0,82,0,0,0,0
F009794,22203,"Water, coconut, commercial",54,95.2,0.2,0.03,0,0,0.7,0,3.2,0,3.2,3.2,12,0.006,0,0,9,9,200,36,0.02,0,0,10,0,0,0,0
F005696,11702,"Mineral water, natural, unflavoured",0,100,0,0,0,0,0,0,0,0,0,0,6,0,0.2,0,4,0,1,8,0,0,0,0,0,0,0,0
F005694,11505,"Mineral water, citrus flavoured",152,90.3,0,0,0,0,1.5,9.1,9.3,0,9.3,9.3,5,0,0,0.06,4,1,5,15,0,0,0,0,0,0,0,0
F008402,11503,"Soft drink, cola flavour",206,89.4,0,0,0.2,0,3,12.3,12.3,0,12.3,12.3,1,0,0.8,0,0,10,0,2,0,0,0,0,0,0,10,0
F008403,11503,"Soft drink, cola flavour, decaffeinated",206,89.4,0,0,0.2,0,3,12.3,12.3,0,12.3,12.3,1,0,0.8,0,0,10,0,2,0,0,0,0,0,0,0,0
F008404,11504,"Soft drink, cola flavour, intense sweetened or diet",0,99.9,0,0,0,0,0,0,0,0,0,0,1,0,0.8,0,0,10,0,3,0,0,0,0,0,0,11,0
F008405,11504,"Soft drink, cola flavour, intense sweetened or diet, decaffeinated",0,99.9,0,0,0,0,0,0,0,0,0,0,1,0,0.8,0,0,10,0,3,0,0,0,0,0,0,0,0
F008421,11603,"Soft drink, energy drink, Red Bull",182,88.3,0.1,0.01,0,0,3.6,10.8,10.8,0,10.8,10.8,9,0,0,0,0,10,0,71,0,2,0,0,0,0,32,0
F008424,11603,"Soft drink, energy drink, V",182,88.3,0.1,0.01,0,0,3.6,10.8,10.8,0,10.8,10.8,9,0,0,0,0,10,0,110,0,0.6,0,0,0,0,31,0
F008438,11501,"Soft drink, fruit flavours",142,91,0,0,0,0,1,8.3,8.3,0,8.8,8.8,2,,1.7,0,0,0,1,14,0,0,0,0,0,0,0,0
F008439,11502,"Soft drink, fruit flavours, intense sweetened or diet",1,100,0,0,0,0,,0,0,0,0,0,2,,1.7,0,0,0,1,14,0,0,0,0,0,0,0,0
F009795,29505,"Kombucha, flavoured, added juice or intense sweeteners",28,98,0,0,0,0.1,0.4,0,0.8,0.1,0.9,0.9,0,0.002,0,0,0,0,2,0,0,0,0,0,0,0,2,0
F008460,11501,"Soft drink, tonic water",142,91.1,0,0,0,0,,8.8,8.8,0,8.8,8.8,1,,0.7,0.01,0,0,0,12,0.1,0,0,0,0,0,0,0
F008461,11502,"Soft drink, tonic water, intense sweetened or diet",1,99.9,0,0,0,0,0,0,0,0,0,0,1,,0.7,0.01,0,0,0,12,0.1,0,0,0,0,0,0,0
F009117,11101,"Tea, green, plain, without milk",7,95.7,0.2,0.04,0.1,0,,0,0,0,0,0,3,0.017,0,0,2,1,19,1,0.05,0,0,0,0,0,13,0
F009125,11101,"Tea, regular, black, brewed from leaf or teabags, without milk",1,99.8,0.1,0.01,0,0,,0,0,0,0,0,1,0.006,0,0,1,2,17,0,0.01,0,0,0,0,0,19,0
F009115,11103,"Tea, decaffeinated, black, brewed from leaf or teabags, without milk",6,99.8,0.1,0.02,0.1,0,,0,0,0,0,0,0,0.002,0,0,0,0,6,0,0,0,0,0,0,0,0,0
F009516,11702,"Water, bottled, still",0,100,0,0,0,0,0,0,0,0,0,0,1,,0.2,0,5,0,0,1,0,0,0,0,0,0,0,0
F009527,11701,"Water, tap",0,100,0,0,0,0,0,0,0,0,0,0,2,0.035,0.7,0,1,0,0,3,0,0,0,0,0,0,0,0
F008377,11702,"Water, soda",0,100,0,0,0,0,0,0,0,0,0,0,2,0.035,0.7,0,1,0,0,3,0,0,0,0,0,0,0,0
F001152,13204,"Biscuit, savoury, rice cracker, plain","1,626",3.5,7,1.18,4.3,0.9,0,0.7,0.7,78.1,78.8,78.8,7,0.18,18,0.41,19,88,94,400,1.4,0,0,0,0.91,0.81,0,0
F001151,13204,"Biscuit, savoury, rice cracker, flavoured (excluding seaweed)","1,646",3.8,7.1,1.2,6.7,1.5,0,0,0,73.9,74.1,74.1,19,0.182,10.6,0.52,23,101,129,554,1.38,0,0,0,0.91,0.98,0,0
F001153,13204,"Biscuit, savoury, rice cracker, seaweed flavoured","1,500",4.6,9.6,1.61,1.2,1.6,0.2,1.5,1.5,73.5,75.3,75.3,21,0.26,70,1.1,46,140,220,660,1.4,0,0,0,0,0.39,0,0
F009833,13204,"Biscuit, savoury, rice cracker, added vegetable powder","1,651",3.5,6.6,1.1,7.4,2,1.1,4.8,4.8,65.9,73.8,73.8,23,0.18,13,0.68,21,90,180,470,1.3,0,0,0,0.26,1.6,0,0
F001122,13202,"Biscuit, savoury, from white wheat flour, cheese-flavoured","2,086",2.6,12,1.92,24.2,2.9,0.2,2.5,2.5,53.2,56.4,56.4,93,0.158,0,1.26,34,236,180,871,1.01,0.1,0,5,5.34,11.2,0,10
F001125,13202,"Biscuit, savoury, from white wheat flour, flavoured (excluding cheese)","2,098",2.1,9.6,1.53,24.5,2,0.3,5.2,5.2,54.5,59.7,59.7,56,0.156,9.3,1.37,34,208,195,854,0.86,0.1,0,4,4.9,9.84,0,8
F001126,13202,"Biscuit, savoury, from white wheat flour, plain snack cracker style","2,058",2.5,8.1,1.36,20.7,3.4,1.8,6.7,6.7,59.6,66.3,66.3,41,0.139,15.9,1.12,24,198,156,609,0.81,0,0,6,4.13,9.08,0,1
F001120,13201,"Biscuit, savoury, from wheat flour, crispbread, puffed & toasted","1,563",6.2,12.3,1.97,5.6,3.3,0,1.8,1.8,62.5,66.1,66.1,44,0.22,7.2,1.3,41,140,200,380,1.1,0,0,0,0,3.4,0,10
F001129,13201,"Biscuit, savoury, from white wheat flour, Salada style","1,785",3.5,9.2,1.62,14.2,3.6,0,0.6,0.6,61.9,63.1,63.1,152,0.142,3,2.97,33,120,170,830,0.91,0,0,0,1.88,3.8,0,16
F001133,13201,"Biscuit, savoury, from white wheat flour, water cracker style","1,650",3.1,10.4,1.82,7.2,3.7,0,2,2,67.4,69.4,69.4,46,0.18,3.3,1.5,35,120,170,560,0.77,0,0,0,0.8,3.12,0,0
F001123,13202,"Biscuit, savoury, from white wheat flour, flaky cracker style","2,067",3.5,11.5,1.85,20.7,3,0.2,0,1.9,60,63.6,63.6,35,0.152,4,1.75,30,155,166,639,0.84,0,0,0,1.5,9.68,0,7
F001137,13201,"Biscuit, savoury, from wholemeal wheat flour, crispbread","1,567",2.8,10.6,1.82,8.1,9.9,0.2,1.1,1.1,57.1,59.1,59.1,33,0.29,4.3,2.3,94,250,350,450,1.6,0,0,0,1.55,0.7,0,0
F001135,13201,"Biscuit, savoury, from wholemeal wheat flour & rye flour, crispbread, puffed","1,611",5.2,14,2.24,3.8,7.6,0.2,0,0,67.6,69.1,69.1,47,0.86,1,3.2,81,256,326,364,1.6,0,0,0,0.33,0.72,0,0
F001115,13205,"Biscuit, savoury, corn cake, plain, salted","1,547",3,9.8,1.57,3,5.9,0,0,0,71.1,71.5,71.5,3,0.14,8.1,1.3,79,180,180,240,1.5,0,0,0,0.22,0.42,0,0
F001118,13203,"Biscuit, savoury, from rye flour, crispbread","1,356",5.1,8.8,1.5,1.3,16.5,0,0,0,57.8,60.6,60.6,38,0.3,5.5,2.4,84,280,450,240,1.8,0,0,0,0.2,0.17,0,0
F001147,13204,"Biscuit, savoury, rice cake, from brown rice, plain","1,603",5.4,8.8,1.47,3.5,3.5,0,0,0,75.5,76.3,76.3,9,0.28,13,1.3,130,340,270,41,1.8,0.2,0,0,0.6,0.6,0,0
F009832,132,"Biscuit, savoury, seed based","2,395",1.9,20.1,3.8,49.6,14.6,0,0,0,4.6,6,6,110,1.5,15,5.9,350,680,610,500,5,0,0,0,6.91,5.78,0,0
F001215,13101,"Biscuit, sweet, plain","1,812",3,6.4,1.02,14.3,2.1,1.1,24.7,24.7,44.7,69.4,69.4,30,0.122,13.1,1.28,22,88,149,289,0.54,0.1,0,6,3.15,6.84,0,5
F001165,13101,"Biscuit, sweet, Anzac style, homemade from basic ingredients","1,970",3.6,4.6,0.81,22.4,3.1,,40,40,22.1,63.3,63.3,15,,12.9,0.87,29,81,131,210,0.62,0,0,0,0.47,15.74,0,31
F009839,13102,"Biscuit, sweet, breakfast style, with or without dried fruit","1,701",4.2,7.5,1.2,15.6,5.3,2.5,18.2,19.5,37.2,57.3,57.3,30,0.21,8.3,1.7,54,180,190,270,1.1,0.1,1,0,4.63,1.39,0,0
